RTT2=180.9	RTT=45.225	PING=60.3
RTT2=599.521681416	RTT=1846.38008568	PING=1682
RTT2=604.458719647	RTT=1591.09502142	PING=1506
RTT2=604.389427313	RTT=917.523755355	PING=693
RTT2=606.595164835	RTT=804.630938839	PING=767
RTT2=607.688157895	RTT=669.15773471	PING=624
RTT2=609.686652079	RTT=703.539433677	PING=715
RTT2=611.779039301	RTT=746.634858419	PING=761
RTT2=612.768627451	RTT=643.408714605	PING=609
RTT2=614.195217391	RTT=630.352178651	PING=626
RTT2=615.682863341	RTT=639.088044663	PING=642
RTT2=616.772294372	RTT=600.022011166	PING=587
RTT2=617.982289417	RTT=591.005502791	PING=588
RTT2=619.385344828	RTT=612.001375698	PING=619
RTT2=621.225376344	RTT=676.500343924	PING=698
RTT2=623.139055794	RTT=721.875085981	PING=737
RTT2=623.040256959	RTT=508.968771495	PING=438
RTT2=624.548717949	RTT=568.992192874	PING=589
RTT2=625.600852878	RTT=568.998048218	PING=569
RTT2=626.454893617	RTT=541.249512055	PING=532
RTT2=626.428450106	RTT=421.812378014	PING=382
RTT2=628.741101695	RTT=630.453094503	PING=700
RTT2=630.181395349	RTT=660.113273626	PING=670
RTT2=636.976371308	RTT=1295.27831841	PING=1507
RTT2=648.435368421	RTT=2220.5695796	PING=2529
RTT2=646.947058824	RTT=1172.3923949	PING=823
RTT2=651.802515723	RTT=1239.59809873	PING=1262
RTT2=655.292468619	RTT=1205.39952468	PING=1194
RTT2=657.876409186	RTT=1073.09988117	PING=1029
RTT2=661.274583333	RTT=1097.77497029	PING=1106
RTT2=663.781288981	RTT=1017.69374257	PING=991
RTT2=664.412448133	RTT=744.173435643	PING=653
RTT2=664.001656315	RTT=465.793358911	PING=373
RTT2=667.326033058	RTT=777.948339728	PING=882
RTT2=676.824329897	RTT=1733.48708493	PING=2052
RTT2=677.110699588	RTT=1150.37177123	PING=956
RTT2=678.020123203	RTT=806.592942808	PING=692
RTT2=677.579508197	RTT=490.398235702	PING=385
RTT2=679.277709611	RTT=595.849558926	PING=631
RTT2=681.017959184	RTT=689.712389731	PING=721
RTT2=683.019959267	RTT=768.678097433	PING=795
RTT2=683.473170732	RTT=617.419524358	PING=567
RTT2=683.346450304	RTT=451.35488109	PING=396
RTT2=686.080566802	RTT=720.338720272	PING=810
RTT2=687.482424242	RTT=727.584680068	PING=730
RTT2=686.330241935	RTT=393.396170017	PING=282
RTT2=687.30945674	RTT=462.099042504	PING=485
RTT2=690.690361446	RTT=829.524760626	PING=952
RTT2=699.963527054	RTT=1774.88119016	PING=2090
RTT2=696.0876	RTT=656.720297539	PING=284
RTT2=694.531337325	RTT=214.280074385	PING=66.8
RTT2=693.173705179	RTT=73.5200185962	PING=26.6
RTT2=694.856063618	RTT=409.880004649	PING=522
RTT2=692.566071429	RTT=118.145001162	PING=20.9
RTT2=691.287524752	RTT=46.4862502906	PING=22.6
RTT2=690.937944664	RTT=145.871562573	PING=179
RTT2=703.233925049	RTT=1812.46789064	PING=2368
RTT2=710.841732283	RTT=2187.11697266	PING=2312
RTT2=713.543418468	RTT=1646.27924317	PING=1466
RTT2=712.422745098	RTT=813.569810791	PING=536
RTT2=711.353424658	RTT=378.892452698	PING=234
